iter	RMSE
0	14.005006
1	13.14441192
2	12.34258257
3	11.64527793
4	11.02766183
5	10.43485794
6	9.890641275
7	9.492161212
8	9.105082953
9	8.674157135
10	8.341743544
11	8.049372916
12	7.757318612
13	7.522206899
14	7.297756655
15	7.088359431
16	6.882113791
17	6.704728832
18	6.563881962
19	6.418790279
20	6.315756953
21	6.210157751
22	6.115058449
23	6.014819884
24	5.93117229
25	5.844857622
26	5.771145213
27	5.704018229
28	5.665806474
29	5.616500369
30	5.558023666
31	5.510080976
32	5.468747792
33	5.429275534
34	5.402117324
35	5.367635151
36	5.345181232
37	5.319151269
38	5.296134146
39	5.269629003
40	5.251147059
41	5.248003302
42	5.232376509
43	5.213524255
44	5.189691584
45	5.166052198
46	5.140406659
47	5.118929684
48	5.108792602
49	5.098141225
50	5.085926393
51	5.067816804
52	5.049834901
53	5.03838627
54	5.033534248
55	5.023726885
56	5.01290392
57	5.005569127
58	4.989969032
59	4.976762446
60	4.967222715
61	4.954407599
62	4.942125056
63	4.930230716
64	4.921695642
65	4.906405625
66	4.894330248
67	4.88211557
68	4.877946398
69	4.863182126
70	4.84646533
71	4.838014752
72	4.82981137
73	4.817094767
74	4.808314151
75	4.796235023
76	4.784434534
77	4.774402487
78	4.76731896
79	4.75934113
80	4.754106378
81	4.744002932
82	4.731700554
83	4.723284153
84	4.712232782
85	4.703046867
86	4.698601855
87	4.692429407
88	4.675027364
89	4.662368584
90	4.646206172
91	4.641245848
92	4.633900435
93	4.624738236
94	4.612798287
95	4.605222001
96	4.601725912
97	4.59722371
98	4.580235665
99	4.57591791
100	4.570544096
101	4.560255694
102	4.559121433
103	4.546763939
104	4.534662611
105	4.528803333
106	4.527754548
107	4.52093459
108	4.512227869
109	4.505683114
110	4.491169018
111	4.479138578
112	4.468055217
113	4.46090365
114	4.44547707
115	4.441711319
116	4.433954392
117	4.414929844
118	4.407722582
119	4.396375371
120	4.387610633
121	4.385339631
122	4.379958185
123	4.372036185
124	4.364507913
125	4.357878143
126	4.348867538
127	4.335455965
128	4.328048366
129	4.327526123
130	4.323114042
131	4.316674365
132	4.313551325
133	4.310808676
134	4.302252339
135	4.295583511
136	4.285683736
137	4.276583238
138	4.270338518
139	4.255978143
140	4.255242724
141	4.25101291
142	4.24702234
143	4.239636
144	4.227701251
145	4.222600816
146	4.215639287
147	4.20542775
148	4.202415265
149	4.195384019
150	4.191362074
151	4.188805198
152	4.183336594
153	4.175939069
154	4.164424786
155	4.158294176
156	4.151671697
157	4.148990302
158	4.143657488
159	4.140996798
160	4.136832431
161	4.124036554
162	4.117918085
163	4.109104688
164	4.098540401
165	4.087609918
166	4.075745262
167	4.068005916
168	4.061645224
169	4.055158125
170	4.050205985
171	4.049106198
172	4.043585365
173	4.04217377
174	4.037675989
175	4.02865254
176	4.018069533
177	4.013882504
178	4.008931345
179	4.002985114
180	3.998954625
181	3.993919566
182	3.991254869
183	3.98322277
184	3.977974746
185	3.971956138
186	3.964953438
187	3.963946143
188	3.957208682
189	3.955900674
190	3.947146463
191	3.943336472
192	3.935872781
193	3.935377035
194	3.93484542
195	3.930272139
196	3.919138549
197	3.915089618
198	3.906943924
199	3.906085619
